delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,1,0.06666666666666667
-2,0,14,0.9333333333333333
-2,1,0,0
-2,2,0,0
-1,-2,0,0
-1,-1,0,0
-1,0,375,0.9236453201970444
-1,1,31,0.07635467980295567
-1,2,0,0
0,-2,2,3.099333643266698e-4
0,-1,3,4.6490004649000463e-4
0,0,4830,0.7484890748489075
0,1,1330,0.20610568727723538
0,2,288,0.044630404463040445
1,-2,0,0
1,-1,0,0
1,0,364,0.5170454545454546
1,1,221,0.31392045454545453
1,2,119,0.1690340909090909
2,-2,0,0
2,-1,0,0
2,0,6,0.1935483870967742
2,1,2,0.06451612903225806
2,2,23,0.7419354838709677
