delta_H,delta_L,count,row_percent
-6,-6,33,1
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,0,0
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-5,-6,17,0.6538461538461539
-5,-5,3,0.11538461538461539
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,1,0.038461538461538464
-5,0,5,0.19230769230769232
-5,1,0,0
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-4,-6,14,0.35
-4,-5,6,0.15
-4,-4,2,0.05
-4,-3,0,0
-4,-2,0,0
-4,-1,1,0.025
-4,0,17,0.425
-4,1,0,0
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-3,-6,83,0.4742857142857143
-3,-5,3,0.017142857142857144
-3,-4,1,0.005714285714285714
-3,-3,1,0.005714285714285714
-3,-2,0,0
-3,-1,5,0.02857142857142857
-3,0,77,0.44
-3,1,5,0.02857142857142857
-3,2,0,0
-3,3,0,0
-3,4,0,0
-3,5,0,0
-3,6,0,0
-2,-6,67,0.1763157894736842
-2,-5,20,0.05263157894736842
-2,-4,11,0.02894736842105263
-2,-3,0,0
-2,-2,2,0.005263157894736842
-2,-1,2,0.005263157894736842
-2,0,261,0.6868421052631579
-2,1,17,0.04473684210526316
-2,2,0,0
-2,3,0,0
-2,4,0,0
-2,5,0,0
-2,6,0,0
-1,-6,138,0.12031386224934612
-1,-5,39,0.03400174367916303
-1,-4,26,0.022667829119442023
-1,-3,0,0
-1,-2,0,0
-1,-1,18,0.015693112467306015
-1,0,754,0.6573670444638187
-1,1,163,0.14210985178727115
-1,2,3,0.0026155187445510027
-1,3,5,0.004359197907585004
-1,4,1,8.718395815170009e-4
-1,5,0,0
-1,6,0,0
0,-6,775,0.19785550165943325
0,-5,61,0.015573142711258616
0,-4,20,0.0051059484299208575
0,-3,1,2.552974214960429e-4
0,-2,0,0
0,-1,22,0.005616543272912944
0,0,2582,0.6591779423027827
0,1,383,0.09777891243298442
0,2,23,0.005871840694408987
0,3,20,0.0051059484299208575
0,4,14,0.0035741639009446006
0,5,16,0.0040847587439366865
0,6,0,0
1,-6,0,0
1,-5,80,0.05108556832694764
1,-4,16,0.010217113665389528
1,-3,0,0
1,-2,0,0
1,-1,10,0.006385696040868455
1,0,1167,0.7452107279693486
1,1,246,0.15708812260536398
1,2,17,0.010855683269476373
1,3,8,0.005108556832694764
1,4,14,0.008939974457215836
1,5,8,0.005108556832694764
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,27,0.04128440366972477
2,-3,1,0.0015290519877675841
2,-2,0,0
2,-1,9,0.013761467889908258
2,0,458,0.7003058103975535
2,1,135,0.20642201834862386
2,2,4,0.0061162079510703364
2,3,11,0.016819571865443424
2,4,5,0.00764525993883792
2,5,4,0.0061162079510703364
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,5,0.015527950310559006
3,0,267,0.8291925465838509
3,1,40,0.12422360248447205
3,2,2,0.006211180124223602
3,3,2,0.006211180124223602
3,4,1,0.003105590062111801
3,5,5,0.015527950310559006
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,4,0.05714285714285714
4,0,40,0.5714285714285714
4,1,20,0.2857142857142857
4,2,2,0.02857142857142857
4,3,1,0.014285714285714285
4,4,1,0.014285714285714285
4,5,2,0.02857142857142857
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,7,0.2413793103448276
5,0,11,0.3793103448275862
5,1,10,0.3448275862068966
5,2,0,0
5,3,0,0
5,4,1,0.034482758620689655
5,5,0,0
5,6,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,31,0.8157894736842105
6,1,5,0.13157894736842105
6,2,0,0
6,3,0,0
6,4,1,0.02631578947368421
6,5,1,0.02631578947368421
6,6,0,0
