delta_H,delta_L,count,row_percent
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,5,0.35714285714285715
-6,0,9,0.6428571428571429
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,1,0.09090909090909091
-5,0,10,0.9090909090909091
-5,1,0,0
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,3,0.13636363636363635
-4,0,19,0.8636363636363636
-4,1,0,0
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,0,0
-3,-2,3,0.01935483870967742
-3,-1,16,0.1032258064516129
-3,0,111,0.7161290322580646
-3,1,20,0.12903225806451613
-3,2,5,0.03225806451612903
-3,3,0,0
-3,4,0,0
-3,5,0,0
-3,6,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,0,0
-2,-3,0,0
-2,-2,2,0.0064516129032258064
-2,-1,8,0.025806451612903226
-2,0,225,0.7258064516129032
-2,1,45,0.14516129032258066
-2,2,30,0.0967741935483871
-2,3,0,0
-2,4,0,0
-2,5,0,0
-2,6,0,0
-1,-6,0,0
-1,-5,0,0
-1,-4,0,0
-1,-3,0,0
-1,-2,1,0.0011037527593818985
-1,-1,9,0.009933774834437087
-1,0,465,0.5132450331125827
-1,1,135,0.1490066225165563
-1,2,179,0.19757174392935983
-1,3,97,0.10706401766004416
-1,4,20,0.02207505518763797
-1,5,0,0
-1,6,0,0
0,-6,0,0
0,-5,0,0
0,-4,0,0
0,-3,0,0
0,-2,1,3.208213025344883e-4
0,-1,20,0.006416426050689766
0,0,1036,0.33237086942572985
0,1,576,0.18479307025986524
0,2,519,0.16650625601539942
0,3,487,0.1562399743342958
0,4,352,0.11292909849213988
0,5,126,0.04042348411934552
0,6,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,0,0
1,-1,1,6.165228113440197e-4
1,0,383,0.23612823674475955
1,1,135,0.08323057953144267
1,2,411,0.2533908754623921
1,3,388,0.23921085080147966
1,4,234,0.1442663378545006
1,5,70,0.04315659679408138
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
2,0,145,0.2059659090909091
2,1,58,0.08238636363636363
2,2,133,0.18892045454545456
2,3,204,0.2897727272727273
2,4,121,0.171875
2,5,43,0.061079545454545456
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,0,0
3,0,74,0.2208955223880597
3,1,34,0.10149253731343283
3,2,40,0.11940298507462686
3,3,53,0.1582089552238806
3,4,71,0.21194029850746268
3,5,63,0.1880597014925373
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,0,0
4,0,22,0.3055555555555556
4,1,0,0
4,2,5,0.06944444444444445
4,3,24,0.3333333333333333
4,4,9,0.125
4,5,12,0.16666666666666666
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,0,0
5,0,7,0.25
5,1,0,0
5,2,0,0
5,3,2,0.07142857142857142
5,4,15,0.5357142857142857
5,5,4,0.14285714285714285
5,6,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,7,0.3181818181818182
6,1,0,0
6,2,0,0
6,3,0,0
6,4,4,0.18181818181818182
6,5,11,0.5
6,6,0,0
