delta_H,delta_L,count,row_percent
-6,-6,21,1
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,0,0
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-5,-6,9,0.42857142857142855
-5,-5,5,0.23809523809523808
-5,-4,0,0
-5,-3,1,0.047619047619047616
-5,-2,0,0
-5,-1,1,0.047619047619047616
-5,0,5,0.23809523809523808
-5,1,0,0
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-4,-6,15,0.22727272727272727
-4,-5,7,0.10606060606060606
-4,-4,5,0.07575757575757576
-4,-3,0,0
-4,-2,0,0
-4,-1,3,0.045454545454545456
-4,0,30,0.45454545454545453
-4,1,6,0.09090909090909091
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-3,-6,68,0.22895622895622897
-3,-5,24,0.08080808080808081
-3,-4,5,0.016835016835016835
-3,-3,3,0.010101010101010102
-3,-2,1,0.003367003367003367
-3,-1,8,0.026936026936026935
-3,0,166,0.5589225589225589
-3,1,22,0.07407407407407407
-3,2,0,0
-3,3,0,0
-3,4,0,0
-3,5,0,0
-3,6,0,0
-2,-6,50,0.08223684210526316
-2,-5,37,0.06085526315789474
-2,-4,20,0.03289473684210526
-2,-3,2,0.003289473684210526
-2,-2,2,0.003289473684210526
-2,-1,12,0.019736842105263157
-2,0,428,0.7039473684210527
-2,1,57,0.09375
-2,2,0,0
-2,3,0,0
-2,4,0,0
-2,5,0,0
-2,6,0,0
-1,-6,77,0.040145985401459854
-1,-5,56,0.029197080291970802
-1,-4,61,0.03180396246089677
-1,-3,4,0.0020855057351407717
-1,-2,1,5.213764337851929e-4
-1,-1,59,0.030761209593326382
-1,0,1196,0.6235662148070907
-1,1,370,0.19290928050052136
-1,2,37,0.01929092805005214
-1,3,37,0.01929092805005214
-1,4,20,0.010427528675703858
-1,5,0,0
-1,6,0,0
0,-6,379,0.08050127442650808
0,-5,84,0.01784197111299915
0,-4,50,0.010620220900594732
0,-3,15,0.0031860662701784196
0,-2,2,4.248088360237893e-4
0,-1,68,0.014443500424808835
0,0,3265,0.693500424808836
0,1,637,0.1353016142735769
0,2,77,0.016355140186915886
0,3,50,0.010620220900594732
0,4,47,0.009983007646559048
0,5,34,0.007221750212404418
0,6,0,0
1,-6,0,0
1,-5,84,0.04251012145748988
1,-4,53,0.026821862348178137
1,-3,5,0.0025303643724696357
1,-2,5,0.0025303643724696357
1,-1,54,0.027327935222672066
1,0,1304,0.659919028340081
1,1,369,0.1867408906882591
1,2,34,0.01720647773279352
1,3,39,0.019736842105263157
1,4,22,0.011133603238866396
1,5,7,0.00354251012145749
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,61,0.07932379713914174
2,-3,3,0.0039011703511053317
2,-2,0,0
2,-1,24,0.031209362808842653
2,0,493,0.6410923276983095
2,1,139,0.18075422626788037
2,2,12,0.015604681404421327
2,3,12,0.015604681404421327
2,4,19,0.0247074122236671
2,5,6,0.007802340702210663
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,8,0.022408963585434174
3,-2,0,0
3,-1,5,0.014005602240896359
3,0,273,0.7647058823529411
3,1,46,0.12885154061624648
3,2,5,0.014005602240896359
3,3,3,0.008403361344537815
3,4,10,0.028011204481792718
3,5,7,0.0196078431372549
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,11,0.13580246913580246
4,0,43,0.5308641975308642
4,1,20,0.24691358024691357
4,2,1,0.012345679012345678
4,3,2,0.024691358024691357
4,4,4,0.04938271604938271
4,5,0,0
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,10,0.2857142857142857
5,0,18,0.5142857142857142
5,1,4,0.11428571428571428
5,2,1,0.02857142857142857
5,3,0,0
5,4,1,0.02857142857142857
5,5,1,0.02857142857142857
5,6,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,24,0.7741935483870968
6,1,5,0.16129032258064516
6,2,0,0
6,3,0,0
6,4,1,0.03225806451612903
6,5,1,0.03225806451612903
6,6,0,0
