delta_H,delta_L,count,row_percent
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,21,1
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,0,0
-5,0,13,1
-5,1,0,0
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,0,0
-4,0,29,1
-4,1,0,0
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,0,0
-3,-2,0,0
-3,-1,0,0
-3,0,161,1
-3,1,0,0
-3,2,0,0
-3,3,0,0
-3,4,0,0
-3,5,0,0
-3,6,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,0,0
-2,-3,0,0
-2,-2,0,0
-2,-1,0,0
-2,0,283,0.8734567901234568
-2,1,41,0.12654320987654322
-2,2,0,0
-2,3,0,0
-2,4,0,0
-2,5,0,0
-2,6,0,0
-1,-6,0,0
-1,-5,0,0
-1,-4,0,0
-1,-3,0,0
-1,-2,0,0
-1,-1,0,0
-1,0,928,0.8076588337684943
-1,1,194,0.16884247171453437
-1,2,26,0.022628372497824196
-1,3,1,8.703220191470844e-4
-1,4,0,0
-1,5,0,0
-1,6,0,0
0,-6,0,0
0,-5,0,0
0,-4,0,0
0,-3,0,0
0,-2,0,0
0,-1,0,0
0,0,3773,0.8406862745098039
0,1,485,0.10806595365418895
0,2,81,0.01804812834224599
0,3,121,0.02696078431372549
0,4,28,0.006238859180035651
0,5,0,0
0,6,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,0,0
1,-1,0,0
1,0,1440,0.7373271889400922
1,1,372,0.19047619047619047
1,2,74,0.03789042498719918
1,3,58,0.029697900665642603
1,4,9,0.004608294930875576
1,5,0,0
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
2,0,561,0.7420634920634921
2,1,145,0.1917989417989418
2,2,34,0.04497354497354497
2,3,14,0.018518518518518517
2,4,2,0.0026455026455026454
2,5,0,0
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,0,0
3,0,283,0.7219387755102041
3,1,70,0.17857142857142858
3,2,16,0.04081632653061224
3,3,17,0.04336734693877551
3,4,6,0.015306122448979591
3,5,0,0
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,0,0
4,0,56,0.5045045045045045
4,1,36,0.32432432432432434
4,2,10,0.09009009009009009
4,3,7,0.06306306306306306
4,4,2,0.018018018018018018
4,5,0,0
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,0,0
5,0,32,0.8205128205128205
5,1,0,0
5,2,2,0.05128205128205128
5,3,4,0.10256410256410256
5,4,1,0.02564102564102564
5,5,0,0
5,6,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,27,0.75
6,1,0,0
6,2,0,0
6,3,5,0.1388888888888889
6,4,4,0.1111111111111111
6,5,0,0
6,6,0,0
