delta_H,delta_L,count,row_percent
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,14,1
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,1,0.09090909090909091
-5,-1,0,0
-5,0,10,0.9090909090909091
-5,1,0,0
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,1,0.045454545454545456
-4,-2,0,0
-4,-1,0,0
-4,0,21,0.9545454545454546
-4,1,0,0
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,2,0.012903225806451613
-3,-2,3,0.01935483870967742
-3,-1,0,0
-3,0,150,0.967741935483871
-3,1,0,0
-3,2,0,0
-3,3,0,0
-3,4,0,0
-3,5,0,0
-3,6,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,0,0
-2,-3,0,0
-2,-2,2,0.0064516129032258064
-2,-1,0,0
-2,0,281,0.9064516129032258
-2,1,27,0.08709677419354839
-2,2,0,0
-2,3,0,0
-2,4,0,0
-2,5,0,0
-2,6,0,0
-1,-6,0,0
-1,-5,0,0
-1,-4,0,0
-1,-3,1,0.0011037527593818985
-1,-2,0,0
-1,-1,0,0
-1,0,653,0.7207505518763797
-1,1,166,0.18322295805739514
-1,2,82,0.09050772626931568
-1,3,4,0.004415011037527594
-1,4,0,0
-1,5,0,0
-1,6,0,0
0,-6,0,0
0,-5,0,0
0,-4,0,0
0,-3,1,3.208213025344883e-4
0,-2,2,6.416426050689766e-4
0,-1,0,0
0,0,1891,0.6066730830927174
0,1,434,0.13923644529996793
0,2,344,0.11036252807186397
0,3,354,0.11357074109720885
0,4,90,0.028873917228103944
0,5,0,0
0,6,1,3.208213025344883e-4
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,0,0
1,-1,0,0
1,0,537,0.3310727496917386
1,1,447,0.2755856966707768
1,2,352,0.21701602959309493
1,3,248,0.15289765721331688
1,4,38,0.02342786683107275
1,5,0,0
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,0,0
2,0,203,0.2883522727272727
2,1,141,0.2002840909090909
2,2,207,0.2940340909090909
2,3,123,0.1747159090909091
2,4,30,0.04261363636363636
2,5,0,0
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,0,0
3,0,90,0.26865671641791045
3,1,44,0.13134328358208955
3,2,59,0.1761194029850746
3,3,106,0.3164179104477612
3,4,36,0.10746268656716418
3,5,0,0
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,0,0
4,0,7,0.09722222222222222
4,1,14,0.19444444444444445
4,2,23,0.3194444444444444
4,3,24,0.3333333333333333
4,4,4,0.05555555555555555
4,5,0,0
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,0,0
5,0,1,0.03571428571428571
5,1,0,0
5,2,7,0.25
5,3,13,0.4642857142857143
5,4,7,0.25
5,5,0,0
5,6,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,2,0.09090909090909091
6,1,0,0
6,2,0,0
6,3,7,0.3181818181818182
6,4,13,0.5909090909090909
6,5,0,0
6,6,0,0
