delta_H,delta_L,count,row_percent
-10,-10,0,0
-10,-8,0,0
-10,-7,0,0
-10,-6,0,0
-10,-5,1,1
-10,-4,0,0
-10,-3,0,0
-10,-2,0,0
-10,-1,0,0
-10,0,0,0
-10,1,0,0
-10,2,0,0
-10,3,0,0
-10,4,0,0
-10,5,0,0
-10,6,0,0
-10,7,0,0
-10,8,0,0
-10,9,0,0
-10,10,0,0
-9,-10,0,0
-9,-8,0,0
-9,-7,0,0
-9,-6,0,0
-9,-5,0,0
-9,-4,0,0
-9,-3,0,0
-9,-2,0,0
-9,-1,0,0
-9,0,0,0
-9,1,0,0
-9,2,0,0
-9,3,0,0
-9,4,0,0
-9,5,0,0
-9,6,0,0
-9,7,0,0
-9,8,0,0
-9,9,0,0
-9,10,0,0
-8,-10,0,0
-8,-8,0,0
-8,-7,0,0
-8,-6,0,0
-8,-5,0,0
-8,-4,0,0
-8,-3,0,0
-8,-2,0,0
-8,-1,0,0
-8,0,1,1
-8,1,0,0
-8,2,0,0
-8,3,0,0
-8,4,0,0
-8,5,0,0
-8,6,0,0
-8,7,0,0
-8,8,0,0
-8,9,0,0
-8,10,0,0
-7,-10,0,0
-7,-8,0,0
-7,-7,0,0
-7,-6,0,0
-7,-5,0,0
-7,-4,1,0.16666666666666666
-7,-3,0,0
-7,-2,0,0
-7,-1,2,0.3333333333333333
-7,0,3,0.5
-7,1,0,0
-7,2,0,0
-7,3,0,0
-7,4,0,0
-7,5,0,0
-7,6,0,0
-7,7,0,0
-7,8,0,0
-7,9,0,0
-7,10,0,0
-6,-10,0,0
-6,-8,0,0
-6,-7,0,0
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,3,0.6
-6,0,2,0.4
-6,1,0,0
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-6,7,0,0
-6,8,0,0
-6,9,0,0
-6,10,0,0
-5,-10,0,0
-5,-8,0,0
-5,-7,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,2,0.6666666666666666
-5,0,0,0
-5,1,1,0.3333333333333333
-5,2,0,0
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-5,7,0,0
-5,8,0,0
-5,9,0,0
-5,10,0,0
-4,-10,0,0
-4,-8,0,0
-4,-7,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,2,0.14285714285714285
-4,0,9,0.6428571428571429
-4,1,3,0.21428571428571427
-4,2,0,0
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-4,7,0,0
-4,8,0,0
-4,9,0,0
-4,10,0,0
-3,-10,0,0
-3,-8,0,0
-3,-7,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,0,0
-3,-2,0,0
-3,-1,6,0.13636363636363635
-3,0,33,0.75
-3,1,5,0.11363636363636363
-3,2,0,0
-3,3,0,0
-3,4,0,0
-3,5,0,0
-3,6,0,0
-3,7,0,0
-3,8,0,0
-3,9,0,0
-3,10,0,0
-2,-10,0,0
-2,-8,0,0
-2,-7,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,1,0.006329113924050633
-2,-3,0,0
-2,-2,0,0
-2,-1,11,0.06962025316455696
-2,0,113,0.7151898734177216
-2,1,31,0.1962025316455696
-2,2,2,0.012658227848101266
-2,3,0,0
-2,4,0,0
-2,5,0,0
-2,6,0,0
-2,7,0,0
-2,8,0,0
-2,9,0,0
-2,10,0,0
-1,-10,0,0
-1,-8,0,0
-1,-7,0,0
-1,-6,0,0
-1,-5,0,0
-1,-4,2,0.0017857142857142857
-1,-3,1,8.928571428571428e-4
-1,-2,0,0
-1,-1,37,0.033035714285714286
-1,0,814,0.7267857142857143
-1,1,235,0.20982142857142858
-1,2,25,0.022321428571428572
-1,3,4,0.0035714285714285713
-1,4,0,0
-1,5,1,8.928571428571428e-4
-1,6,0,0
-1,7,1,8.928571428571428e-4
-1,8,0,0
-1,9,0,0
-1,10,0,0
0,-10,0,0
0,-8,1,2.2972662531587412e-4
0,-7,2,4.5945325063174823e-4
0,-6,0,0
0,-5,0,0
0,-4,0,0
0,-3,3,6.891798759476223e-4
0,-2,0,0
0,-1,84,0.019297036526533425
0,0,2770,0.6363427521249713
0,1,1251,0.28738800827015853
0,2,191,0.043877785435331954
0,3,22,0.00505398575694923
0,4,13,0.0029864461291063634
0,5,0,0
0,6,9,0.002067539627842867
0,7,2,4.5945325063174823e-4
0,8,0,0
0,9,0,0
0,10,5,0.0011486331265793705
1,-10,0,0
1,-8,0,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,0,0
1,-1,13,0.008971704623878536
1,0,826,0.5700483091787439
1,1,504,0.34782608695652173
1,2,85,0.05866114561766736
1,3,7,0.004830917874396135
1,4,6,0.004140786749482402
1,5,2,0.0013802622498274672
1,6,2,0.0013802622498274672
1,7,0,0
1,8,0,0
1,9,3,0.002070393374741201
1,10,1,6.901311249137336e-4
2,-10,0,0
2,-8,0,0
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,5,0.01694915254237288
2,0,118,0.4
2,1,139,0.4711864406779661
2,2,24,0.08135593220338982
2,3,5,0.01694915254237288
2,4,4,0.013559322033898305
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
3,-10,0,0
3,-8,0,0
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,2,0.023255813953488372
3,0,22,0.2558139534883721
3,1,43,0.5
3,2,12,0.13953488372093023
3,3,2,0.023255813953488372
3,4,2,0.023255813953488372
3,5,0,0
3,6,1,0.011627906976744186
3,7,0,0
3,8,0,0
3,9,0,0
3,10,2,0.023255813953488372
4,-10,0,0
4,-8,0,0
4,-7,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,0,0
4,0,15,0.39473684210526316
4,1,12,0.3157894736842105
4,2,6,0.15789473684210525
4,3,2,0.05263157894736842
4,4,2,0.05263157894736842
4,5,0,0
4,6,1,0.02631578947368421
4,7,0,0
4,8,0,0
4,9,0,0
4,10,0,0
5,-10,0,0
5,-8,0,0
5,-7,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,0,0
5,0,3,0.15
5,1,13,0.65
5,2,3,0.15
5,3,0,0
5,4,1,0.05
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,0,0
5,10,0,0
6,-10,0,0
6,-8,0,0
6,-7,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,0,0
6,1,3,0.3333333333333333
6,2,2,0.2222222222222222
6,3,0,0
6,4,2,0.2222222222222222
6,5,1,0.1111111111111111
6,6,1,0.1111111111111111
6,7,0,0
6,8,0,0
6,9,0,0
6,10,0,0
7,-10,0,0
7,-8,0,0
7,-7,0,0
7,-6,0,0
7,-5,0,0
7,-4,0,0
7,-3,0,0
7,-2,0,0
7,-1,0,0
7,0,0,0
7,1,1,0.3333333333333333
7,2,1,0.3333333333333333
7,3,0,0
7,4,0,0
7,5,0,0
7,6,1,0.3333333333333333
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
8,-10,0,0
8,-8,0,0
8,-7,0,0
8,-6,0,0
8,-5,0,0
8,-4,0,0
8,-3,0,0
8,-2,0,0
8,-1,0,0
8,0,0,0
8,1,0,0
8,2,1,1
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,8,0,0
8,9,0,0
8,10,0,0
9,-10,0,0
9,-8,0,0
9,-7,0,0
9,-6,0,0
9,-5,0,0
9,-4,0,0
9,-3,0,0
9,-2,0,0
9,-1,0,0
9,0,0,0
9,1,0,0
9,2,1,1
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,9,0,0
9,10,0,0
10,-10,0,0
10,-8,0,0
10,-7,0,0
10,-6,0,0
10,-5,0,0
10,-4,0,0
10,-3,0,0
10,-2,0,0
10,-1,0,0
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,1,0.5
10,5,0,0
10,6,0,0
10,7,1,0.5
10,8,0,0
10,9,0,0
10,10,0,0
