delta_H,delta_L,count,row_percent
-10,-10,0,0
-10,-8,0,0
-10,-7,0,0
-10,-6,0,0
-10,-5,0,0
-10,-4,0,0
-10,-3,0,0
-10,-2,0,0
-10,-1,0,0
-10,0,2,1
-10,1,0,0
-10,2,0,0
-10,3,0,0
-10,4,0,0
-10,5,0,0
-10,6,0,0
-10,7,0,0
-10,8,0,0
-10,9,0,0
-10,10,0,0
-9,-10,0,0
-9,-8,0,0
-9,-7,0,0
-9,-6,0,0
-9,-5,0,0
-9,-4,0,0
-9,-3,0,0
-9,-2,0,0
-9,-1,0,0
-9,0,0,0
-9,1,0,0
-9,2,0,0
-9,3,0,0
-9,4,0,0
-9,5,0,0
-9,6,0,0
-9,7,0,0
-9,8,0,0
-9,9,0,0
-9,10,0,0
-8,-10,0,0
-8,-8,0,0
-8,-7,0,0
-8,-6,0,0
-8,-5,0,0
-8,-4,1,0.3333333333333333
-8,-3,0,0
-8,-2,0,0
-8,-1,0,0
-8,0,2,0.6666666666666666
-8,1,0,0
-8,2,0,0
-8,3,0,0
-8,4,0,0
-8,5,0,0
-8,6,0,0
-8,7,0,0
-8,8,0,0
-8,9,0,0
-8,10,0,0
-7,-10,0,0
-7,-8,0,0
-7,-7,0,0
-7,-6,0,0
-7,-5,0,0
-7,-4,0,0
-7,-3,0,0
-7,-2,0,0
-7,-1,0,0
-7,0,3,1
-7,1,0,0
-7,2,0,0
-7,3,0,0
-7,4,0,0
-7,5,0,0
-7,6,0,0
-7,7,0,0
-7,8,0,0
-7,9,0,0
-7,10,0,0
-6,-10,0,0
-6,-8,0,0
-6,-7,0,0
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,6,0.4
-6,0,7,0.4666666666666667
-6,1,2,0.13333333333333333
-6,2,0,0
-6,3,0,0
-6,4,0,0
-6,5,0,0
-6,6,0,0
-6,7,0,0
-6,8,0,0
-6,9,0,0
-6,10,0,0
-5,-10,0,0
-5,-8,0,0
-5,-7,0,0
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,5,0.17857142857142858
-5,0,21,0.75
-5,1,1,0.03571428571428571
-5,2,1,0.03571428571428571
-5,3,0,0
-5,4,0,0
-5,5,0,0
-5,6,0,0
-5,7,0,0
-5,8,0,0
-5,9,0,0
-5,10,0,0
-4,-10,0,0
-4,-8,0,0
-4,-7,0,0
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,9,0.20930232558139536
-4,0,26,0.6046511627906976
-4,1,5,0.11627906976744186
-4,2,3,0.06976744186046512
-4,3,0,0
-4,4,0,0
-4,5,0,0
-4,6,0,0
-4,7,0,0
-4,8,0,0
-4,9,0,0
-4,10,0,0
-3,-10,0,0
-3,-8,0,0
-3,-7,0,0
-3,-6,0,0
-3,-5,0,0
-3,-4,2,0.016666666666666666
-3,-3,0,0
-3,-2,0,0
-3,-1,23,0.19166666666666668
-3,0,73,0.6083333333333333
-3,1,14,0.11666666666666667
-3,2,3,0.025
-3,3,4,0.03333333333333333
-3,4,1,0.008333333333333333
-3,5,0,0
-3,6,0,0
-3,7,0,0
-3,8,0,0
-3,9,0,0
-3,10,0,0
-2,-10,0,0
-2,-8,0,0
-2,-7,0,0
-2,-6,0,0
-2,-5,0,0
-2,-4,1,0.002890173410404624
-2,-3,0,0
-2,-2,0,0
-2,-1,29,0.0838150289017341
-2,0,249,0.7196531791907514
-2,1,37,0.1069364161849711
-2,2,19,0.05491329479768786
-2,3,4,0.011560693641618497
-2,4,2,0.005780346820809248
-2,5,5,0.014450867052023121
-2,6,0,0
-2,7,0,0
-2,8,0,0
-2,9,0,0
-2,10,0,0
-1,-10,0,0
-1,-8,0,0
-1,-7,0,0
-1,-6,0,0
-1,-5,0,0
-1,-4,0,0
-1,-3,0,0
-1,-2,1,5.875440658049354e-4
-1,-1,108,0.06345475910693302
-1,0,1122,0.6592244418331374
-1,1,311,0.1827262044653349
-1,2,101,0.05934195064629847
-1,3,33,0.019388954171562868
-1,4,18,0.010575793184488837
-1,5,5,0.002937720329024677
-1,6,3,0.0017626321974148062
-1,7,0,0
-1,8,0,0
-1,9,0,0
-1,10,0,0
0,-10,0,0
0,-8,0,0
0,-7,0,0
0,-6,0,0
0,-5,1,1.942124684404739e-4
0,-4,0,0
0,-3,2,3.884249368809478e-4
0,-2,2,3.884249368809478e-4
0,-1,113,0.021946008933773548
0,0,3176,0.6168187997669451
0,1,925,0.17964653330743835
0,2,564,0.10953583220042727
0,3,161,0.0312682074189163
0,4,81,0.015731209943678385
0,5,66,0.012818022917071277
0,6,13,0.0025247620897261604
0,7,42,0.008156923674499902
0,8,1,1.942124684404739e-4
0,9,2,3.884249368809478e-4
0,10,0,0
1,-10,0,0
1,-8,0,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,0,0
1,-1,18,0.009734991887506761
1,0,921,0.49810708491076255
1,1,496,0.2682531097890752
1,2,148,0.08004326663061113
1,3,134,0.07247160627366143
1,4,77,0.04164413196322336
1,5,38,0.02055164954029205
1,6,11,0.005949161709031909
1,7,6,0.003244997295835587
1,8,0,0
1,9,0,0
1,10,0,0
2,-10,0,0
2,-8,0,0
2,-7,0,0
2,-6,0,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,0,0
2,-1,7,0.01928374655647383
2,0,132,0.36363636363636365
2,1,93,0.256198347107438
2,2,58,0.15977961432506887
2,3,30,0.08264462809917356
2,4,18,0.049586776859504134
2,5,17,0.046831955922865015
2,6,5,0.013774104683195593
2,7,3,0.008264462809917356
2,8,0,0
2,9,0,0
2,10,0,0
3,-10,0,0
3,-8,0,0
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,0,0
3,0,33,0.22758620689655173
3,1,27,0.18620689655172415
3,2,25,0.1724137931034483
3,3,19,0.1310344827586207
3,4,22,0.15172413793103448
3,5,14,0.09655172413793103
3,6,1,0.006896551724137931
3,7,4,0.027586206896551724
3,8,0,0
3,9,0,0
3,10,0,0
4,-10,0,0
4,-8,0,0
4,-7,0,0
4,-6,0,0
4,-5,0,0
4,-4,0,0
4,-3,0,0
4,-2,0,0
4,-1,0,0
4,0,13,0.2826086956521739
4,1,10,0.21739130434782608
4,2,5,0.10869565217391304
4,3,6,0.13043478260869565
4,4,8,0.17391304347826086
4,5,0,0
4,6,1,0.021739130434782608
4,7,3,0.06521739130434782
4,8,0,0
4,9,0,0
4,10,0,0
5,-10,0,0
5,-8,0,0
5,-7,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,0,0
5,-1,0,0
5,0,7,0.18421052631578946
5,1,4,0.10526315789473684
5,2,7,0.18421052631578946
5,3,1,0.02631578947368421
5,4,2,0.05263157894736842
5,5,7,0.18421052631578946
5,6,5,0.13157894736842105
5,7,3,0.07894736842105263
5,8,0,0
5,9,2,0.05263157894736842
5,10,0,0
6,-10,0,0
6,-8,0,0
6,-7,0,0
6,-6,0,0
6,-5,0,0
6,-4,0,0
6,-3,0,0
6,-2,0,0
6,-1,0,0
6,0,1,0.1
6,1,0,0
6,2,0,0
6,3,2,0.2
6,4,3,0.3
6,5,3,0.3
6,6,0,0
6,7,1,0.1
6,8,0,0
6,9,0,0
6,10,0,0
7,-10,0,0
7,-8,0,0
7,-7,0,0
7,-6,0,0
7,-5,0,0
7,-4,0,0
7,-3,0,0
7,-2,0,0
7,-1,0,0
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,3,0.6
7,5,0,0
7,6,0,0
7,7,2,0.4
7,8,0,0
7,9,0,0
7,10,0,0
8,-10,0,0
8,-8,0,0
8,-7,0,0
8,-6,0,0
8,-5,0,0
8,-4,0,0
8,-3,0,0
8,-2,0,0
8,-1,0,0
8,0,0,0
8,1,0,0
8,2,0,0
8,3,1,0.5
8,4,0,0
8,5,0,0
8,6,1,0.5
8,7,0,0
8,8,0,0
8,9,0,0
8,10,0,0
9,-10,0,0
9,-8,0,0
9,-7,0,0
9,-6,0,0
9,-5,0,0
9,-4,0,0
9,-3,0,0
9,-2,0,0
9,-1,0,0
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,9,0,0
9,10,0,0
10,-10,0,0
10,-8,0,0
10,-7,0,0
10,-6,0,0
10,-5,0,0
10,-4,0,0
10,-3,0,0
10,-2,0,0
10,-1,0,0
10,0,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,2,1
10,8,0,0
10,9,0,0
10,10,0,0
