Task,model,prompt_variant,prompt_label,n_total,modal_category,accuracy_majority,accuracy_prompt,accuracy_ordinal,prompt_minus_ordinal,prompt_mae,ordinal_mae,prompt_within_one,ordinal_within_one,n_ordinal_metric,Model
Climate-growth original,Llama-3_3-70B-Instruct,tanchored,Context-anchored prompt,74051,4,0.26398022984159564,0.2244264088263494,0.3127844323506772,-0.08835802352432781,1.4590755020188788,1.3137027183967809,0.5764810738545056,0.6068115217890373,74051,Llama-3.3-70B
Climate-growth original,Mistral-7B-Instruct-v0_3,tanchored,Context-anchored prompt,74051,4,0.26398022984159564,0.1450621868712104,0.3127844323506772,-0.16772224547946682,2.61225233985657,1.3137366125089476,0.3027565063544157,0.6067960509433707,74043,Mistral-7B
Climate-growth original,Qwen2_5-32B-Instruct,tanchored,Context-anchored prompt,74051,4,0.26398022984159564,0.2799962188221631,0.3127844323506772,-0.03278821352851413,1.622489905605596,1.3137027183967809,0.5573186047453782,0.6068115217890373,74051,Qwen2.5-32B
Climate-growth original,Qwen2_5-72B-Instruct,tanchored,Context-anchored prompt,74051,4,0.26398022984159564,0.24778868617574373,0.3127844323506772,-0.06499574617493348,1.598857544124995,1.3137027183967809,0.5366031518818112,0.6068115217890373,74051,Qwen2.5-72B
Climate-growth original,Qwen2_5-7B-Instruct-GPTQ-Int4,tanchored,Context-anchored prompt,74051,4,0.26398022984159564,0.13575778855113368,0.3127844323506772,-0.17702664379954353,1.7574779543827903,1.3137027183967809,0.48738031896935896,0.6068115217890373,74051,Qwen2.5-7B
Left-right grouped,Llama-3_3-70B-Instruct,baseline,Date baseline,59935,Neutral,0.5867689997497288,0.3567197797614082,0.6323517143572204,-0.2756319345958122,NA,NA,NA,NA,0,Llama-3.3-70B
Left-right grouped,Mistral-7B-Instruct-v0_3,baseline,Date baseline,59934,Neutral,0.586762104982147,0.25840090766509827,0.632345580138152,-0.37394467247305374,NA,NA,NA,NA,0,Mistral-7B
Left-right grouped,Qwen2_5-32B-Instruct,baseline,Date baseline,59935,Neutral,0.5867689997497288,0.3727705013764912,0.6323517143572204,-0.25958121298072917,NA,NA,NA,NA,0,Qwen2.5-32B
Left-right grouped,Qwen2_5-72B-Instruct,baseline,Date baseline,59935,Neutral,0.5867689997497288,0.49670476349378495,0.6323517143572204,-0.13564695086343542,NA,NA,NA,NA,0,Qwen2.5-72B
Left-right grouped,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline,Date baseline,59935,Neutral,0.5867689997497288,0.5869024776841578,0.6323517143572204,-0.04544923667306255,NA,NA,NA,NA,0,Qwen2.5-7B
Left-right grouped,Llama-3_3-70B-Instruct,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.35790439642946525,0.6323517143572204,-0.2744473179277551,NA,NA,NA,NA,0,Llama-3.3-70B
Left-right grouped,Mistral-7B-Instruct-v0_3,baseline_notime,No-time baseline,59911,Neutral,0.5867870674834338,0.2728881173741049,0.6323379679858456,-0.35944985061174073,NA,NA,NA,NA,0,Mistral-7B
Left-right grouped,Qwen2_5-32B-Instruct,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.3757570701593393,0.6323517143572204,-0.2565946441978811,NA,NA,NA,NA,0,Qwen2.5-32B
Left-right grouped,Qwen2_5-72B-Instruct,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.4819053975139735,0.6323517143572204,-0.15044631684324689,NA,NA,NA,NA,0,Qwen2.5-72B
Left-right grouped,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline_notime,No-time baseline,59935,Neutral,0.5867689997497288,0.5863351964628347,0.6323517143572204,-0.04601651789438565,NA,NA,NA,NA,0,Qwen2.5-7B
Left-right grouped,Llama-3_3-70B-Instruct,tanchored,Context-anchored prompt,59935,Neutral,0.5867689997497288,0.3577041795278218,0.6323517143572204,-0.2746475348293986,NA,NA,NA,NA,0,Llama-3.3-70B
Left-right grouped,Mistral-7B-Instruct-v0_3,tanchored,Context-anchored prompt,59896,Neutral,0.5867336716976091,0.2501836516628823,0.63231267530386,-0.3821290236409777,NA,NA,NA,NA,0,Mistral-7B
Left-right grouped,Qwen2_5-32B-Instruct,tanchored,Context-anchored prompt,59935,Neutral,0.5867689997497288,0.3638608492533578,0.6323517143572204,-0.26849086510386255,NA,NA,NA,NA,0,Qwen2.5-32B
Left-right grouped,Qwen2_5-72B-Instruct,tanchored,Context-anchored prompt,59935,Neutral,0.5867689997497288,0.4779010594811045,0.6323517143572204,-0.15445065487611587,NA,NA,NA,NA,0,Qwen2.5-72B
Left-right grouped,Qwen2_5-7B-Instruct-GPTQ-Int4,tanchored,Context-anchored prompt,59935,Neutral,0.5867689997497288,0.5816467840160173,0.6323517143572204,-0.05070493034120305,NA,NA,NA,NA,0,Qwen2.5-7B
Left-right original,Llama-3_3-70B-Instruct,baseline,Date baseline,59935,6,0.30491365646116625,0.22347543171769416,0.3203303578877117,-0.09685492617001754,1.6287730890524104,1.3533229881029851,0.5262885651832941,0.6203634179306202,59931,Llama-3.3-70B
Left-right original,Mistral-7B-Instruct-v0_3,baseline,Date baseline,59935,6,0.30491365646116625,0.1128889630432969,0.3203303578877117,-0.2074413948444148,2.3197265195395556,1.3564227582667352,0.4429393650560891,0.6189420045457878,54556,Mistral-7B
Left-right original,Qwen2_5-32B-Instruct,baseline,Date baseline,59935,6,0.30491365646116625,0.23276883290231085,0.3203303578877117,-0.08756152498540085,1.4848585968132144,1.353299407691666,0.6002169016434471,0.6203720697422207,59935,Qwen2.5-32B
Left-right original,Qwen2_5-72B-Instruct,baseline,Date baseline,59935,6,0.30491365646116625,0.23692333361141235,0.3203303578877117,-0.08340702427629934,1.5096187536497874,1.353299407691666,0.6145157253691499,0.6203720697422207,59935,Qwen2.5-72B
Left-right original,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline,Date baseline,59935,6,0.30491365646116625,0.10463001585050472,0.3203303578877117,-0.21570034203720695,2.2118461666805707,1.353299407691666,0.3950446316843247,0.6203720697422207,59935,Qwen2.5-7B
Left-right original,Llama-3_3-70B-Instruct,baseline_notime,No-time baseline,59935,6,0.30491365646116625,0.2230249436889964,0.3203303578877117,-0.09730541419871527,1.65073829982481,1.353299407691666,0.5278218069575373,0.6203720697422207,59935,Llama-3.3-70B
Left-right original,Mistral-7B-Instruct-v0_3,baseline_notime,No-time baseline,59935,6,0.30491365646116625,0.1331442395928923,0.3203303578877117,-0.1871861182948194,2.3240862750537485,1.3543935085650878,0.4347042097232818,0.6200499341147098,57676,Mistral-7B
Left-right original,Qwen2_5-32B-Instruct,baseline_notime,No-time baseline,59935,6,0.30491365646116625,0.20759155752064737,0.3203303578877117,-0.11273880036706432,1.6781513306081588,1.353299407691666,0.5134896137482272,0.6203720697422207,59935,Qwen2.5-32B
Left-right original,Qwen2_5-72B-Instruct,baseline_notime,No-time baseline,59935,6,0.30491365646116625,0.235004588303996,0.3203303578877117,-0.08532576958371568,1.429548677734212,1.353299407691666,0.6304830232752148,0.6203720697422207,59935,Qwen2.5-72B
Left-right original,Qwen2_5-7B-Instruct-GPTQ-Int4,baseline_notime,No-time baseline,59935,6,0.30491365646116625,0.11143739050638192,0.3203303578877117,-0.2088929673813298,2.123867523150079,1.353299407691666,0.4280470509718862,0.6203720697422207,59935,Qwen2.5-7B
Left-right original,Llama-3_3-70B-Instruct,tanchored,Context-anchored prompt,59935,6,0.30491365646116625,0.22425961458246432,0.3203303578877117,-0.09607074330524736,1.6396429465254023,1.353299407691666,0.5219487778426629,0.6203720697422207,59935,Llama-3.3-70B
Left-right original,Mistral-7B-Instruct-v0_3,tanchored,Context-anchored prompt,59935,6,0.30491365646116625,0.1188787853507967,0.3203303578877117,-0.20145157253691495,2.2771208319041,1.353974472387211,0.4486288386199924,0.6207145565164016,55391,Mistral-7B
Left-right original,Qwen2_5-32B-Instruct,tanchored,Context-anchored prompt,59935,6,0.30491365646116625,0.22384249603737383,0.3203303578877117,-0.09648786185033786,1.5183949278384916,1.353299407691666,0.5833986819053976,0.6203720697422207,59935,Qwen2.5-32B
Left-right original,Qwen2_5-72B-Instruct,tanchored,Context-anchored prompt,59935,6,0.30491365646116625,0.22152331692667057,0.3203303578877117,-0.09880704096104112,1.6403437056811547,1.353299407691666,0.5853674814382247,0.6203720697422207,59935,Qwen2.5-72B
Left-right original,Qwen2_5-7B-Instruct-GPTQ-Int4,tanchored,Context-anchored prompt,59935,6,0.30491365646116625,0.11939601234670894,0.3203303578877117,-0.20093434554100276,2.0424626678902142,1.353299407691666,0.45953115875531825,0.6203720697422207,59935,Qwen2.5-7B
