delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,1,0.08333333333333333
-2,0,4,0.3333333333333333
-2,1,2,0.16666666666666666
-2,2,5,0.4166666666666667
-1,-2,0,0
-1,-1,9,0.024193548387096774
-1,0,193,0.5188172043010753
-1,1,160,0.43010752688172044
-1,2,10,0.026881720430107527
0,-2,23,0.00388644812436634
0,-1,179,0.03024670496789456
0,0,4606,0.7783034809057114
0,1,937,0.15833051706657655
0,2,173,0.029232848935451167
1,-2,2,0.003115264797507788
1,-1,129,0.20093457943925233
1,0,330,0.514018691588785
1,1,126,0.19626168224299065
1,2,55,0.08566978193146417
2,-2,1,0.03333333333333333
2,-1,2,0.06666666666666667
2,0,19,0.6333333333333333
2,1,5,0.16666666666666666
2,2,3,0.1
