delta_H,delta_L,count,row_percent
-2,-2,0,0
-2,-1,0,0
-2,0,14,0.8235294117647058
-2,1,2,0.11764705882352941
-2,2,1,0.058823529411764705
-1,-2,0,0
-1,-1,32,0.05871559633027523
-1,0,373,0.6844036697247706
-1,1,122,0.22385321100917432
-1,2,18,0.03302752293577982
0,-2,83,0.016226783968719453
0,-1,398,0.07781036168132942
0,0,4286,0.8379276637341153
0,1,287,0.056109481915933526
0,2,61,0.01192570869990225
1,-2,25,0.07122507122507123
1,-1,65,0.18518518518518517
1,0,239,0.6809116809116809
1,1,10,0.02849002849002849
1,2,12,0.03418803418803419
2,-2,0,0
2,-1,0,0
2,0,3,1
2,1,0,0
2,2,0,0
