delta_H,delta_L,count,row_percent
-6,-6,0,0
-6,-5,0,0
-6,-4,0,0
-6,-3,0,0
-6,-2,0,0
-6,-1,0,0
-6,0,7,0.25925925925925924
-6,1,3,0.1111111111111111
-6,2,3,0.1111111111111111
-6,3,6,0.2222222222222222
-6,4,4,0.14814814814814814
-6,5,0,0
-6,6,4,0.14814814814814814
-5,-6,0,0
-5,-5,0,0
-5,-4,0,0
-5,-3,0,0
-5,-2,0,0
-5,-1,0,0
-5,0,2,0.08333333333333333
-5,1,4,0.16666666666666666
-5,2,6,0.25
-5,3,5,0.20833333333333334
-5,4,1,0.041666666666666664
-5,5,4,0.16666666666666666
-5,6,2,0.08333333333333333
-4,-6,0,0
-4,-5,0,0
-4,-4,0,0
-4,-3,0,0
-4,-2,0,0
-4,-1,0,0
-4,0,5,0.13513513513513514
-4,1,12,0.32432432432432434
-4,2,5,0.13513513513513514
-4,3,9,0.24324324324324326
-4,4,5,0.13513513513513514
-4,5,0,0
-4,6,1,0.02702702702702703
-3,-6,0,0
-3,-5,0,0
-3,-4,0,0
-3,-3,2,0.012195121951219513
-3,-2,4,0.024390243902439025
-3,-1,10,0.06097560975609756
-3,0,36,0.21951219512195122
-3,1,18,0.10975609756097561
-3,2,30,0.18292682926829268
-3,3,53,0.3231707317073171
-3,4,3,0.018292682926829267
-3,5,4,0.024390243902439025
-3,6,4,0.024390243902439025
-2,-6,0,0
-2,-5,0,0
-2,-4,0,0
-2,-3,2,0.005780346820809248
-2,-2,0,0
-2,-1,12,0.03468208092485549
-2,0,82,0.23699421965317918
-2,1,114,0.32947976878612717
-2,2,81,0.23410404624277456
-2,3,44,0.12716763005780346
-2,4,7,0.02023121387283237
-2,5,3,0.008670520231213872
-2,6,1,0.002890173410404624
-1,-6,0,0
-1,-5,0,0
-1,-4,0,0
-1,-3,2,0.0018832391713747645
-1,-2,16,0.015065913370998116
-1,-1,46,0.04331450094161959
-1,0,403,0.3794726930320151
-1,1,305,0.2871939736346516
-1,2,203,0.1911487758945386
-1,3,73,0.0687382297551789
-1,4,11,0.010357815442561206
-1,5,3,0.002824858757062147
-1,6,0,0
0,-6,3,8.23271130625686e-4
0,-5,0,0
0,-4,0,0
0,-3,23,0.006311745334796927
0,-2,33,0.009055982436882546
0,-1,163,0.04473106476399561
0,0,2074,0.5691547749725576
0,1,459,0.12596048298572995
0,2,431,0.11827661909989023
0,3,377,0.10345773874862788
0,4,63,0.01728869374313941
0,5,7,0.0019209659714599342
0,6,11,0.0030186608122941823
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,6,0.00411240575736806
1,-2,40,0.027416038382453736
1,-1,167,0.11446196024674435
1,0,715,0.4900616860863605
1,1,175,0.11994516792323509
1,2,222,0.15215901302261822
1,3,116,0.07950651130911583
1,4,17,0.011651816312542838
1,5,1,6.854009595613434e-4
1,6,0,0
2,-6,0,0
2,-5,0,0
2,-4,1,0.0016366612111292963
2,-3,6,0.009819967266775777
2,-2,50,0.08183306055646482
2,-1,76,0.12438625204582651
2,0,290,0.4746317512274959
2,1,66,0.10801963993453355
2,2,77,0.1260229132569558
2,3,37,0.060556464811783964
2,4,8,0.01309328968903437
2,5,0,0
2,6,0,0
3,-6,0,0
3,-5,0,0
3,-4,1,0.003424657534246575
3,-3,21,0.07191780821917808
3,-2,20,0.0684931506849315
3,-1,31,0.10616438356164383
3,0,142,0.4863013698630137
3,1,17,0.05821917808219178
3,2,30,0.10273972602739725
3,3,20,0.0684931506849315
3,4,10,0.03424657534246575
3,5,0,0
3,6,0,0
4,-6,0,0
4,-5,0,0
4,-4,1,0.015151515151515152
4,-3,1,0.015151515151515152
4,-2,7,0.10606060606060606
4,-1,6,0.09090909090909091
4,0,24,0.36363636363636365
4,1,5,0.07575757575757576
4,2,8,0.12121212121212122
4,3,13,0.19696969696969696
4,4,1,0.015151515151515152
4,5,0,0
4,6,0,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,2,0.07407407407407407
5,-2,0,0
5,-1,3,0.1111111111111111
5,0,7,0.25925925925925924
5,1,3,0.1111111111111111
5,2,3,0.1111111111111111
5,3,5,0.18518518518518517
5,4,4,0.14814814814814814
5,5,0,0
5,6,0,0
6,-6,1,0.029411764705882353
6,-5,0,0
6,-4,0,0
6,-3,1,0.029411764705882353
6,-2,6,0.17647058823529413
6,-1,0,0
6,0,4,0.11764705882352941
6,1,4,0.11764705882352941
6,2,1,0.029411764705882353
6,3,5,0.14705882352941177
6,4,12,0.35294117647058826
6,5,0,0
6,6,0,0
