model,prompt_variant,sex,income_band,education_band,outcome,n,n_correct,accuracy,se,ci_low,ci_high
Llama-3_3-70B-Instruct,trajectory,maennlich,high_income,before_university_track,correct_prediction,3113,2126,0.6829424991969162,0.008340105135676427,0.6665958931309904,0.6992891052628419
Llama-3_3-70B-Instruct,trajectory,maennlich,high_income,university_track_or_higher,correct_prediction,4584,3334,0.7273123909249564,0.006577651970035628,0.7144201930636865,0.7402045887862262
Llama-3_3-70B-Instruct,trajectory,maennlich,low_income,before_university_track,correct_prediction,5647,3750,0.6640694173897644,0.006285250882600547,0.6517503256598673,0.6763885091196615
Llama-3_3-70B-Instruct,trajectory,maennlich,low_income,university_track_or_higher,correct_prediction,3902,2888,0.7401332649923117,0.007020801176902107,0.7263724946855835,0.7538940352990399
Llama-3_3-70B-Instruct,trajectory,maennlich,middle_income,before_university_track,correct_prediction,7343,4782,0.6512324662944301,0.00556159401163239,0.6403317420316306,0.6621331905572296
Llama-3_3-70B-Instruct,trajectory,maennlich,middle_income,university_track_or_higher,correct_prediction,4737,3424,0.7228203504327634,0.006503455365703091,0.7100735779159854,0.7355671229495414
Llama-3_3-70B-Instruct,trajectory,weiblich,high_income,before_university_track,correct_prediction,2525,1698,0.6724752475247525,0.009339626828919633,0.65416957894007,0.690780916109435
Llama-3_3-70B-Instruct,trajectory,weiblich,high_income,university_track_or_higher,correct_prediction,3359,2414,0.7186662697231319,0.007758352920389983,0.7034598979991675,0.7338726414470962
Llama-3_3-70B-Instruct,trajectory,weiblich,low_income,before_university_track,correct_prediction,6709,4295,0.6401848263526606,0.005859540078878009,0.6287001277980597,0.6516695249072615
Llama-3_3-70B-Instruct,trajectory,weiblich,low_income,university_track_or_higher,correct_prediction,3781,2795,0.7392224279291193,0.00714034749005132,0.7252273468486187,0.7532175090096199
Llama-3_3-70B-Instruct,trajectory,weiblich,middle_income,before_university_track,correct_prediction,7392,4772,0.6455627705627706,0.005563625972255614,0.6346580636571496,0.6564674774683915
Llama-3_3-70B-Instruct,trajectory,weiblich,middle_income,university_track_or_higher,correct_prediction,4799,3461,0.721191914982288,0.006472957141069979,0.7085049189857908,0.7338789109787851
Mistral-7B-Instruct-v0_3,baseline,maennlich,high_income,before_university_track,correct_prediction,4421,1701,0.38475458041167154,0.007317383831964188,0.3704125081010217,0.39909665272232137
Mistral-7B-Instruct-v0_3,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,6294,2904,0.4613918017159199,0.0062835930004602695,0.44907595943501777,0.4737076439968221
Mistral-7B-Instruct-v0_3,baseline,maennlich,low_income,before_university_track,correct_prediction,8142,3265,0.40100712355686563,0.005431519255822555,0.3903613458154534,0.41165290129827786
Mistral-7B-Instruct-v0_3,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,5393,2701,0.5008344149823846,0.006808543075285437,0.4874896705548251,0.5141791594099441
Mistral-7B-Instruct-v0_3,baseline,maennlich,middle_income,before_university_track,correct_prediction,10372,3914,0.37736212880833014,0.004759547537753125,0.368033415634334,0.3866908419823263
Mistral-7B-Instruct-v0_3,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,2926,0.45343251200991785,0.006197226839179667,0.4412859474051257,0.46557907661471
Mistral-7B-Instruct-v0_3,baseline,weiblich,high_income,before_university_track,correct_prediction,3702,1332,0.35980551053484605,0.007888086489210517,0.34434486101599343,0.37526616005369867
Mistral-7B-Instruct-v0_3,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4782,1823,0.38122124634044335,0.007023465593399987,0.36745525377737936,0.39498723890350734
Mistral-7B-Instruct-v0_3,baseline,weiblich,low_income,before_university_track,correct_prediction,9803,3765,0.3840661022136081,0.004912364007398763,0.3744378687591065,0.3936943356681097
Mistral-7B-Instruct-v0_3,baseline,weiblich,low_income,university_track_or_higher,correct_prediction,5460,2183,0.39981684981684984,0.0066294290111998735,0.3868231689548981,0.4128105306788016
Mistral-7B-Instruct-v0_3,baseline,weiblich,middle_income,before_university_track,correct_prediction,10694,3756,0.35122498597344304,0.004616041130784661,0.3421775453571051,0.360272426589781
Mistral-7B-Instruct-v0_3,baseline,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,2610,0.3890296616485318,0.005952131603255376,0.37736348370615125,0.4006958395909124
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,high_income,before_university_track,correct_prediction,4421,1794,0.4057905451255372,0.007385169771370822,0.39131561237365037,0.420265477877424
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,high_income,university_track_or_higher,correct_prediction,6294,3037,0.4825230378137909,0.006298558500087016,0.47017786315362037,0.49486821247396146
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,low_income,before_university_track,correct_prediction,8142,3348,0.4112011790714812,0.005453120473072947,0.4005130629442582,0.42188929519870416
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,low_income,university_track_or_higher,correct_prediction,5393,2856,0.529575375486742,0.0067966311989483795,0.5162539783368032,0.5428967726366809
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,middle_income,before_university_track,correct_prediction,10372,3995,0.38517161588893173,0.004778293676126101,0.3758061602837246,0.39453707149413886
Mistral-7B-Instruct-v0_3,baseline_notime,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,3100,0.48039671470633816,0.006219495042315556,0.46820650442339967,0.49258692498927664
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,high_income,before_university_track,correct_prediction,3702,1418,0.38303619665045924,0.007989719703234487,0.36737634603211966,0.3986960472687988
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,high_income,university_track_or_higher,correct_prediction,4782,2072,0.43329150982852366,0.007165807930115731,0.4192465262854968,0.4473364933715505
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,low_income,before_university_track,correct_prediction,9803,3907,0.39855146383760076,0.00494495039189507,0.38885936106948643,0.4082435666057151
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,low_income,university_track_or_higher,correct_prediction,5460,2613,0.4785714285714286,0.006760432398423217,0.4653209810705191,0.49182187607233807
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,middle_income,before_university_track,correct_prediction,10694,3890,0.36375537684683,0.004652074740222386,0.35463731035599416,0.37287344333766587
Mistral-7B-Instruct-v0_3,baseline_notime,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,3005,0.4479057981815472,0.006071151065705508,0.4360063420927644,0.45980525427033
Mistral-7B-Instruct-v0_3,tanchored,maennlich,high_income,before_university_track,correct_prediction,4421,1756,0.3971952047048179,0.007359191260656885,0.3827711898339304,0.4116192195757054
Mistral-7B-Instruct-v0_3,tanchored,maennlich,high_income,university_track_or_higher,correct_prediction,6294,2999,0.47648554178582775,0.0062954363083004405,0.4641464866215589,0.4888245969500966
Mistral-7B-Instruct-v0_3,tanchored,maennlich,low_income,before_university_track,correct_prediction,8142,3304,0.4057971014492754,0.005441972016938526,0.39513083629607587,0.4164633666024749
Mistral-7B-Instruct-v0_3,tanchored,maennlich,low_income,university_track_or_higher,correct_prediction,5393,2747,0.5093639903578713,0.006807358444925358,0.4960215678058176,0.522706412909925
Mistral-7B-Instruct-v0_3,tanchored,maennlich,middle_income,before_university_track,correct_prediction,10372,3967,0.382472040107983,0.00477196121420639,0.3731189961281385,0.39182508408782757
Mistral-7B-Instruct-v0_3,tanchored,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,2976,0.46118084611808463,0.006205493300988644,0.4490180792481469,0.47334361298802236
Mistral-7B-Instruct-v0_3,tanchored,weiblich,high_income,before_university_track,correct_prediction,3702,1398,0.37763371150729336,0.0079678326044722,0.3620167596025278,0.3932506634120589
Mistral-7B-Instruct-v0_3,tanchored,weiblich,high_income,university_track_or_higher,correct_prediction,4782,2022,0.4228356336260979,0.0071438242063711025,0.4088337381816105,0.43683752907058526
Mistral-7B-Instruct-v0_3,tanchored,weiblich,low_income,before_university_track,correct_prediction,9803,3854,0.39314495562582885,0.00493332055388879,0.38347564734020684,0.40281426391145086
Mistral-7B-Instruct-v0_3,tanchored,weiblich,low_income,university_track_or_higher,correct_prediction,5460,2424,0.44395604395604393,0.0067240080901852005,0.43077698809928094,0.4571350998128069
Mistral-7B-Instruct-v0_3,tanchored,weiblich,middle_income,before_university_track,correct_prediction,10694,3895,0.3642229287450907,0.004653352816734949,0.35510235722429023,0.3733435002658912
Mistral-7B-Instruct-v0_3,tanchored,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,2897,0.4318080190788493,0.006047334696311008,0.4199552430740797,0.4436607950836189
Mistral-7B-Instruct-v0_3,trajectory,maennlich,high_income,before_university_track,correct_prediction,3113,1952,0.6270478637969804,0.008667369980485057,0.6100598186352297,0.6440359089587311
Mistral-7B-Instruct-v0_3,trajectory,maennlich,high_income,university_track_or_higher,correct_prediction,4584,3115,0.6795375218150087,0.0068924402503631925,0.6660283389242968,0.6930467047057206
Mistral-7B-Instruct-v0_3,trajectory,maennlich,low_income,before_university_track,correct_prediction,5647,3527,0.6245794227023198,0.006443828579695806,0.611949518686116,0.6372093267185236
Mistral-7B-Instruct-v0_3,trajectory,maennlich,low_income,university_track_or_higher,correct_prediction,3902,2752,0.7052793439261917,0.0072986449483671305,0.6909739998273922,0.7195846880249913
Mistral-7B-Instruct-v0_3,trajectory,maennlich,middle_income,before_university_track,correct_prediction,7343,4488,0.6111943347405693,0.005688780645960916,0.6000443246744859,0.6223443448066527
Mistral-7B-Instruct-v0_3,trajectory,maennlich,middle_income,university_track_or_higher,correct_prediction,4737,3196,0.6746886214903948,0.0068069040303752465,0.6613470895908593,0.6880301533899302
Mistral-7B-Instruct-v0_3,trajectory,weiblich,high_income,before_university_track,correct_prediction,2525,1545,0.6118811881188119,0.009698067578159258,0.5928729756656197,0.630889400572004
Mistral-7B-Instruct-v0_3,trajectory,weiblich,high_income,university_track_or_higher,correct_prediction,3359,2157,0.6421554033938672,0.008271081507765817,0.6259440836386462,0.6583667231490883
Mistral-7B-Instruct-v0_3,trajectory,weiblich,low_income,before_university_track,correct_prediction,6709,4024,0.5997913250857058,0.0059815597218088115,0.5880674680309604,0.6115151821404511
Mistral-7B-Instruct-v0_3,trajectory,weiblich,low_income,university_track_or_higher,correct_prediction,3781,2627,0.6947897381645067,0.0074889843798742325,0.6801113287799533,0.7094681475490602
Mistral-7B-Instruct-v0_3,trajectory,weiblich,middle_income,before_university_track,correct_prediction,7392,4363,0.590232683982684,0.005720043161472884,0.5790213993861971,0.6014439685791709
Mistral-7B-Instruct-v0_3,trajectory,weiblich,middle_income,university_track_or_higher,correct_prediction,4799,3237,0.674515524067514,0.006763721851920902,0.661258629237749,0.687772418897279
Qwen2_5-32B-Instruct,baseline,maennlich,high_income,before_university_track,correct_prediction,4421,1866,0.4220764532911106,0.007427976132202006,0.40751762007199466,0.43663528651022654
Qwen2_5-32B-Instruct,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,6294,2658,0.4223069590085796,0.006225859529398895,0.4101042743309578,0.43450964368620143
Qwen2_5-32B-Instruct,baseline,maennlich,low_income,before_university_track,correct_prediction,8142,3636,0.44657332350773765,0.005509483463738988,0.4357747359188092,0.4573719110966661
Qwen2_5-32B-Instruct,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,5393,2235,0.41442610791767104,0.006708094871559105,0.4012782419694152,0.4275739738659269
Qwen2_5-32B-Instruct,baseline,maennlich,middle_income,before_university_track,correct_prediction,10372,4374,0.42171230235248747,0.004848962862349099,0.4122083351422832,0.4312162695626917
Qwen2_5-32B-Instruct,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,2685,0.41608554160855415,0.006135996375668553,0.40405898871224377,0.42811209450486454
Qwen2_5-32B-Instruct,baseline,weiblich,high_income,before_university_track,correct_prediction,3702,1346,0.3635872501350621,0.007905977087619453,0.34809153504332796,0.37908296522679624
Qwen2_5-32B-Instruct,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4782,1751,0.36616478460895024,0.006966612963096855,0.3525102232012804,0.3798193460166201
Qwen2_5-32B-Instruct,baseline,weiblich,low_income,before_university_track,correct_prediction,9803,3794,0.3870243802917474,0.004919390083266734,0.3773823757285446,0.3966663848549502
Qwen2_5-32B-Instruct,baseline,weiblich,low_income,university_track_or_higher,correct_prediction,5460,2105,0.38553113553113555,0.006586934551736952,0.37262074380973115,0.39844152725253995
Qwen2_5-32B-Instruct,baseline,weiblich,middle_income,before_university_track,correct_prediction,10694,4222,0.39480082289134094,0.004726809493833161,0.38553627628342796,0.4040653694992539
Qwen2_5-32B-Instruct,baseline,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,2561,0.3817260396482337,0.005931130439282121,0.37010102398724076,0.39335105530922665
Qwen2_5-32B-Instruct,baseline_notime,maennlich,high_income,before_university_track,correct_prediction,4421,1795,0.4060167382945035,0.00738582162807472,0.39154052790347704,0.42049294868553
Qwen2_5-32B-Instruct,baseline_notime,maennlich,high_income,university_track_or_higher,correct_prediction,6294,2618,0.4159517000317763,0.006212729780368061,0.4037747496622549,0.42812865040129766
Qwen2_5-32B-Instruct,baseline_notime,maennlich,low_income,before_university_track,correct_prediction,8142,3676,0.4514861213461066,0.005515062819627769,0.4406765982196362,0.46229564447257704
Qwen2_5-32B-Instruct,baseline_notime,maennlich,low_income,university_track_or_higher,correct_prediction,5393,2305,0.4274058965325422,0.006736409509541713,0.41420253389384043,0.44060925917124394
Qwen2_5-32B-Instruct,baseline_notime,maennlich,middle_income,before_university_track,correct_prediction,10372,4284,0.41303509448515235,0.00483468619762062,0.40355910953781593,0.4225110794324888
Qwen2_5-32B-Instruct,baseline_notime,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,2715,0.42073454207345423,0.0061455685571053026,0.4086892277015278,0.43277985644538064
Qwen2_5-32B-Instruct,baseline_notime,weiblich,high_income,before_university_track,correct_prediction,3702,1365,0.3687196110210697,0.007929413397680714,0.3531779607616155,0.3842612612805239
Qwen2_5-32B-Instruct,baseline_notime,weiblich,high_income,university_track_or_higher,correct_prediction,4782,1935,0.40464240903387705,0.007097736307819877,0.39073084587055007,0.418553972197204
Qwen2_5-32B-Instruct,baseline_notime,weiblich,low_income,before_university_track,correct_prediction,9803,3948,0.40273385698255637,0.004953515402690441,0.3930249667932831,0.41244274717182966
Qwen2_5-32B-Instruct,baseline_notime,weiblich,low_income,university_track_or_higher,correct_prediction,5460,2496,0.45714285714285713,0.006741746620273104,0.44392903376712184,0.4703566805185924
Qwen2_5-32B-Instruct,baseline_notime,weiblich,middle_income,before_university_track,correct_prediction,10694,4241,0.39657752010473163,0.00473047442822539,0.38730579022540984,0.4058492499840534
Qwen2_5-32B-Instruct,baseline_notime,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,3001,0.44730958414070654,0.006070384113433747,0.4354116312783764,0.4592075370030367
Qwen2_5-32B-Instruct,tanchored,maennlich,high_income,before_university_track,correct_prediction,4421,1765,0.3992309432255146,0.007365557391844411,0.38479445073749957,0.41366743571352965
