Task,covariates_only,best_nontrajectory,best_nontrajectory_model,best_nontrajectory_prompt,no_prior_state_n,modal,carry_forward,lag_covariates,best_trajectory,best_trajectory_model,prior_state_n
Climate-growth grouped,0.5358199079013113,0.45605055974936193,Qwen2.5-72B,No-time baseline,74051,0.4280406534431579,0.6842084570170438,0.6618372682773398,0.6843067487074642,Llama-3.3-70B,50869
Climate-growth original scale,0.3127844323506772,0.2843985901608351,Qwen2.5-32B,No-time baseline,74051,0.2612593131376673,0.4677898130492048,0.4238927441074132,0.46759322966836386,Qwen2.5-32B,50869
Left-right grouped,0.6323517143572204,0.5863351964628347,Qwen2.5-7B,No-time baseline,59935,0.5880910240202276,0.8414159292035398,0.8363590391908976,0.8407838179519596,Qwen2.5-7B,39550
Left-right original scale,0.3203303578877117,0.235004588303996,Qwen2.5-72B,No-time baseline,59935,0.3023261694058154,0.5560050568900127,0.4678128950695322,0.5248040455120101,Qwen2.5-32B,39550
